dateday,year,month,holiday,weekday,workingday,weather_condition,apparent_temperature,total_rentals
2011-01-01,2011,Jan,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,14.908624999999999,985
2011-01-02,2011,Jan,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,14.503299000000002,801
2011-01-03,2011,Jan,No Holiday,Monday,Working Day,Clear/Partly Cloudy,7.765605,1349
2011-01-04,2011,Jan,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,8.697002,1562
2011-01-05,2011,Jan,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,9.40007,1600
2011-01-06,2011,Jan,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,9.561569,1606
2011-01-07,2011,Jan,No Holiday,Friday,Working Day,Misty/Cloudy,8.562399,1510
2011-01-08,2011,Jan,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,6.652414,959
2011-01-09,2011,Jan,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,4.763175,822
2011-01-10,2011,Jan,No Holiday,Monday,Working Day,Clear/Partly Cloudy,6.186408,1321
2011-01-11,2011,Jan,No Holiday,Tuesday,Working Day,Misty/Cloudy,7.8500239999999994,1263
2011-01-12,2011,Jan,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,6.5793930000000005,1162
2011-01-13,2011,Jan,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,6.186203,1406
2011-01-14,2011,Jan,No Holiday,Friday,Working Day,Clear/Partly Cloudy,7.724933,1421
2011-01-15,2011,Jan,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,10.172592,1248
2011-01-16,2011,Jan,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,9.602897,1204
2011-01-17,2011,Jan,Holiday,Monday,Non-Working Day,Misty/Cloudy,7.247611000000001,1000
2011-01-18,2011,Jan,No Holiday,Tuesday,Working Day,Misty/Cloudy,9.525653,683
2011-01-19,2011,Jan,No Holiday,Wednesday,Working Day,Misty/Cloudy,12.235302,1650
2011-01-20,2011,Jan,No Holiday,Thursday,Working Day,Misty/Cloudy,10.45705,1927
2011-01-21,2011,Jan,No Holiday,Friday,Working Day,Clear/Partly Cloudy,6.471153,1543
2011-01-22,2011,Jan,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,3.2418536000000002,981
2011-01-23,2011,Jan,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,4.0524031,986
2011-01-24,2011,Jan,No Holiday,Monday,Working Day,Clear/Partly Cloudy,4.8351299999999995,1416
2011-01-25,2011,Jan,No Holiday,Tuesday,Working Day,Misty/Cloudy,9.615566000000001,1985
2011-01-26,2011,Jan,No Holiday,Wednesday,Working Day,Light Rain/Snow,8.3476,506
2011-01-27,2011,Jan,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,9.0077,431
2011-01-28,2011,Jan,No Holiday,Friday,Working Day,Misty/Cloudy,9.155997,1167
2011-01-29,2011,Jan,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,8.697166000000001,1098
2011-01-30,2011,Jan,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,10.263202,1096
2011-01-31,2011,Jan,No Holiday,Monday,Working Day,Misty/Cloudy,7.6362499999999995,1501
2011-02-01,2011,Feb,No Holiday,Tuesday,Working Day,Misty/Cloudy,9.61573,1360
2011-02-02,2011,Feb,No Holiday,Wednesday,Working Day,Misty/Cloudy,10.431097,1526
2011-02-03,2011,Feb,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,7.292998000000001,1550
2011-02-04,2011,Feb,No Holiday,Friday,Working Day,Misty/Cloudy,9.372067000000001,1708
2011-02-05,2011,Feb,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,9.965378,1005
2011-02-06,2011,Feb,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,11.958511000000001,1623
2011-02-07,2011,Feb,No Holiday,Monday,Working Day,Clear/Partly Cloudy,12.449978,1712
2011-02-08,2011,Feb,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,8.128086,1530
2011-02-09,2011,Feb,No Holiday,Wednesday,Working Day,Misty/Cloudy,5.915603,1605
