dateday,year,month,time,holiday,weekday,workingday,weather_condition_hourly,apparent_temperature_hourly,total_rentals_hourly,weather_condition_daily,apparent_temperature_daily,total_rentals_daily,peak_category,time_category,weekday_time_category,temperature_category
2011-01-01,2011,Jan,00:00,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,11.803899999999999,16,Misty/Cloudy,14.908624999999999,985,Off-Peak,Night,Saturday Night,Moderate
2011-01-01,2011,Jan,01:00,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,11.1807,40,Misty/Cloudy,14.908624999999999,985,Off-Peak,Night,Saturday Night,Moderate
2011-01-01,2011,Jan,02:00,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,11.1807,32,Misty/Cloudy,14.908624999999999,985,Off-Peak,Night,Saturday Night,Moderate
2011-01-01,2011,Jan,03:00,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,11.803899999999999,13,Misty/Cloudy,14.908624999999999,985,Off-Peak,Night,Saturday Night,Moderate
2011-01-01,2011,Jan,04:00,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,11.803899999999999,1,Misty/Cloudy,14.908624999999999,985,Off-Peak,Night,Saturday Night,Moderate
2011-01-01,2011,Jan,05:00,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,10.5616,1,Misty/Cloudy,14.908624999999999,985,Off-Peak,Morning,Saturday Morning,Moderate
2011-01-01,2011,Jan,06:00,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,11.1807,2,Misty/Cloudy,14.908624999999999,985,Off-Peak,Morning,Saturday Morning,Moderate
2011-01-01,2011,Jan,07:00,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,10.5616,3,Misty/Cloudy,14.908624999999999,985,Peak,Morning,Saturday Morning,Moderate
2011-01-01,2011,Jan,08:00,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,11.803899999999999,8,Misty/Cloudy,14.908624999999999,985,Peak,Morning,Saturday Morning,Moderate
2011-01-01,2011,Jan,09:00,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,14.288499999999999,14,Misty/Cloudy,14.908624999999999,985,Peak,Morning,Saturday Morning,Moderate
2011-01-01,2011,Jan,10:00,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,16.1499,36,Misty/Cloudy,14.908624999999999,985,Off-Peak,Morning,Saturday Morning,Moderate
2011-01-01,2011,Jan,11:00,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,13.6653,56,Misty/Cloudy,14.908624999999999,985,Off-Peak,Morning,Saturday Morning,Moderate
2011-01-01,2011,Jan,12:00,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,17.392200000000003,84,Misty/Cloudy,14.908624999999999,985,Off-Peak,Afternoon,Saturday Afternoon,Moderate
2011-01-01,2011,Jan,13:00,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,18.6345,94,Misty/Cloudy,14.908624999999999,985,Off-Peak,Afternoon,Saturday Afternoon,Moderate
2011-01-01,2011,Jan,14:00,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,18.6345,106,Misty/Cloudy,14.908624999999999,985,Off-Peak,Afternoon,Saturday Afternoon,Moderate
2011-01-01,2011,Jan,15:00,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,18.0154,110,Misty/Cloudy,14.908624999999999,985,Off-Peak,Afternoon,Saturday Afternoon,Moderate
2011-01-01,2011,Jan,16:00,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,17.392200000000003,93,Misty/Cloudy,14.908624999999999,985,Off-Peak,Afternoon,Saturday Afternoon,Moderate
2011-01-01,2011,Jan,17:00,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,18.0154,67,Misty/Cloudy,14.908624999999999,985,Peak,Evening,Saturday Evening,Moderate
2011-01-01,2011,Jan,18:00,No Holiday,Saturday,Non-Working Day,Light Rain/Snow,17.392200000000003,35,Misty/Cloudy,14.908624999999999,985,Peak,Evening,Saturday Evening,Moderate
2011-01-01,2011,Jan,19:00,No Holiday,Saturday,Non-Working Day,Light Rain/Snow,17.392200000000003,37,Misty/Cloudy,14.908624999999999,985,Peak,Evening,Saturday Evening,Moderate
2011-01-01,2011,Jan,20:00,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,16.7731,36,Misty/Cloudy,14.908624999999999,985,Off-Peak,Evening,Saturday Evening,Moderate
2011-01-01,2011,Jan,21:00,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,16.7731,34,Misty/Cloudy,14.908624999999999,985,Off-Peak,Night,Saturday Night,Moderate
2011-01-01,2011,Jan,22:00,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,16.7731,28,Misty/Cloudy,14.908624999999999,985,Off-Peak,Night,Saturday Night,Moderate
2011-01-01,2011,Jan,23:00,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,18.6345,39,Misty/Cloudy,14.908624999999999,985,Off-Peak,Night,Saturday Night,Moderate
2011-01-02,2011,Jan,00:00,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,18.6345,17,Misty/Cloudy,14.503299000000002,801,Off-Peak,Night,Sunday Night,Moderate
